model is syntactically correct
data loaded
model compiled
initial values loaded but chain contains uninitialized variables
initial values loaded but chain contains uninitialized variables
initial values generated, model initialized
model is updating
1000 updates took 8 s
model is updating
5000 updates took 41 s
CODA files written
Summary statistics
		mean	sd	val2.5pc	median	val97.5pc	sample
	n_MSW[13]	105.1	14.11	83.78	105.0	134.8	10000
	n_MSW[14]	93.73	12.87	74.0	91.95	125.3	10000
	n_MSW[15]	88.32	12.6	67.98	86.99	116.7	10000
	n_MSW[16]	117.1	15.16	92.01	116.2	149.4	10000
	n_MSW[17]	65.71	9.662	50.01	64.94	86.45	10000
	n_MSW[18]	219.0	20.57	185.4	216.4	266.4	10000
	n_MSW[19]	146.9	20.93	113.2	144.3	192.1	10000
	n_MSW[20]	104.9	14.9	80.59	103.7	137.6	10000
	n_MSW[21]	136.0	14.61	112.0	133.8	171.6	10000
	n_MSW[22]	174.3	20.77	140.9	172.0	219.8	10000
	n_MSW[23]	89.33	12.47	69.7	87.91	117.5	10000
	n_MSW[24]	148.3	13.39	126.0	146.8	177.0	10000
	n_tot[1]	587.2	85.08	447.2	566.9	761.5	10000
	n_tot[2]	848.5	44.75	772.2	839.1	931.3	10000
	n_tot[3]	820.7	40.4	751.2	814.5	906.4	10000
	n_tot[4]	535.6	33.35	479.6	531.7	606.3	10000
	n_tot[5]	607.2	30.53	552.9	607.3	665.1	10000
	n_tot[6]	352.3	24.97	308.0	350.4	414.9	10000
	n_tot[7]	371.9	49.78	296.3	363.6	488.4	10000
	n_tot[8]	343.4	19.49	309.4	341.6	385.9	10000
	n_tot[9]	589.9	34.61	528.3	585.7	668.0	10000
	n_tot[10]	290.0	21.9	251.7	288.7	338.4	10000
	n_tot[11]	1183.0	40.68	1107.0	1179.0	1271.0	10000
	n_tot[12]	581.7	25.08	535.4	580.4	634.6	10000
	n_tot[13]	998.0	42.45	922.5	996.0	1076.0	10000
	n_tot[14]	575.2	33.6	517.1	576.3	646.1	10000
	n_tot[15]	374.4	24.53	331.5	372.0	425.4	10000
	n_tot[16]	383.0	27.21	333.9	376.6	431.9	10000
	n_tot[17]	831.5	37.83	763.4	829.2	926.9	10000
	n_tot[18]	604.5	28.98	553.7	602.8	673.5	10000
	n_tot[19]	530.3	41.65	456.7	521.7	628.9	10000
	n_tot[20]	706.5	38.35	639.0	704.7	791.7	10000
	n_tot[21]	827.1	45.74	750.5	825.5	919.8	10000
	n_tot[22]	769.0	38.63	700.2	767.8	853.0	10000
	n_tot[23]	705.2	33.28	646.9	702.1	777.2	10000
	n_tot[24]	1116.0	33.37	1053.0	1118.0	1183.0	10000
	p_MP94_tot[1]	0.3196	0.05425	0.2237	0.3173	0.4327	10000
	p_MP94_tot[2]	0.1004	0.04168	0.03722	0.0946	0.1983	10000
	piD_1SW[1,1]	0.005349	0.008867	-0.01023	0.002599	0.03512	10000
	piD_1SW[1,2]	0.004014	0.006667	-0.009701	0.001986	0.02703	10000
	piD_1SW[2,1]	0.06692	0.0313	0.01728	0.06233	0.1404	10000
	piD_1SW[2,2]	0.02497	0.02164	-3.199E-4	0.01968	0.08037	10000
	piD_1SW[3,1]	0.02658	0.0157	0.003267	0.02386	0.06525	10000
	piD_1SW[3,2]	0.03697	0.02849	0.002912	0.02879	0.114	10000
	piD_1SW[4,1]	0.02638	0.02018	-1.637E-5	0.0206	0.07516	10000
	piD_1SW[4,2]	0.01681	0.01728	-0.007252	0.0109	0.05901	10000
	piD_1SW[5,1]	0.00393	0.006547	-0.009807	0.001884	0.02216	10000
