"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"Nesc[24]","4705.786","464.217","3950.77","4259.445","4740.464","5102.75","5366.207","3.862","2"
"Nesc[25]","4848.107","2296.935","2422.502","2745.907","4202.913","6424.471","9136.65","7.286","2"
"Nesc[26]","4451.107","770.513","2995.512","4018.249","4376.991","5045.583","5538.661","3.735","2"
"Nesc[27]","6344.857","514.36","5301.205","6073.991","6330.999","6663.663","7286.274","1.085","18"
"Nesc[28]","1106.679","207.335","869.675","937.896","1068.5","1229.492","1559.429","1.09","28"
"Nesc[29]","2562.429","642.782","1648.59","2029.485","2464.457","3023.494","3700.883","4.413","2"
"Nesc[30]","5681.071","997.563","3624.933","5352.353","5845.768","6372.747","6947.735","2.852","3"
"Nesc[31]","24454.607","18906.021","5954.601","6499.27","15446.501","44059.878","51833.638","18.234","2"
"Nesc[32]","1544.714","469.336","774.976","1245.76","1522.452","1906.997","2241.598","3.965","2"
"Nesc[33]","2389.25","404.585","1734.032","2051.419","2410.813","2617.482","3149.604","1.287","11"
"Nesc[34]","35380.321","29693.194","5658.863","7233.855","19971.096","63579.929","75912.036","16.5","2"
"Nesc[35]","10139.429","2785.246","6927.476","7795.977","9280.003","12529.702","15319.192","5.426","2"
"Nesc[36]","1428.25","158.804","1114.698","1327.672","1430.994","1492.101","1718.407","1.034","26"
"Nesc[37]","3933.429","1515.09","1242.853","3024.259","3866.738","5214.214","6213.979","2.912","3"
"Nesc[38]","5085.321","1264.688","3178.488","4225.667","4795.829","5937.384","7156.744","3.578","2"
"Nesc[39]","2750.464","1409.058","802.752","1749.509","2451.4","3915.035","5122.795","3.305","3"
"Nesc[40]","941.607","887.471","3.1","80","795.5","1861.75","2187.975","9.232","2"
"Nesc[41]","1943.5","595.599","1217.806","1433.078","1758.5","2400.555","3047.809","3.49","2"
"Nesc[42]","5532.929","2052.46","3032.459","3630.919","5214.621","6608.235","9058.722","5.688","2"
"test","0.179","0.39","0","0","0","0","1","0.988","28"
"p_keep","0.666","0.24","0.156","0.573","0.687","0.864","0.973","1.625","5"
