"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"lambda_tot[27]","191.752","15.983","162.022","180.8","191.2","202.1","224.9","1.001","6900"
"lambda_tot[28]","62.262","9.148","45.761","55.73","61.845","68.27","81.255","1.001","6900"
"lambda_tot[29]","120.771","18.143","89.572","108.1","119.3","131.6","162.177","1.001","6900"
"lambda_tot[30]","138.948","15.883","110.5","127.8","138.05","149","172.3","1.001","6900"
"lambda_tot[31]","117.103","18.971","84.529","103.9","115.2","128.5","159.355","1.001","6900"
"lambda_tot[32]","79.708","13.96","55.672","69.75","78.45","88.29","110.477","1.001","5000"
"lambda_tot[33]","77.886","13.24","55.031","68.475","77.015","85.89","107.4","1.001","6900"
"lambda_tot[34]","110.671","14.219","85.484","100.625","109.7","119.775","141.177","1.001","6900"
"lambda_tot[35]","54.968","10.103","37.674","47.822","54.16","61.32","76.825","1.001","6900"
"lambda_tot[36]","172.724","20.437","136.3","158.2","171.3","185.7","216.6","1.001","3400"
"lambda_tot[37]","91.402","17.631","62.302","78.802","89.66","101.7","130.6","1.001","6900"
"lambda_tot[38]","86.24","14.735","61.314","75.882","84.78","95.197","118.977","1.001","6900"
"lambda_tot[39]","24.23","6.294","13.76","19.642","23.69","28.077","38.165","1.002","1900"
"lambda_tot[40]","79.372","13.348","56.388","70.065","78.195","87.467","109.777","1.001","3100"
"lambda_tot[41]","8.73","4.927","2.122","5.228","7.757","11.1","20.95","1.001","6900"
"Plambda[1,1]","0.294","0.034","0.228","0.27","0.294","0.316","0.362","1.001","6900"
"Plambda[1,2]","0.476","0.037","0.405","0.452","0.476","0.501","0.548","1.001","6900"
"Plambda[1,3]","0.043","0.015","0.019","0.032","0.041","0.051","0.076","1.001","6900"
"Plambda[1,4]","0.187","0.031","0.13","0.166","0.186","0.207","0.252","1.001","6900"
"Plambda[2,1]","0.364","0.045","0.277","0.333","0.363","0.394","0.456","1.001","6900"
"Plambda[2,2]","0.303","0.042","0.222","0.275","0.302","0.331","0.388","1.001","6900"
"Plambda[2,3]","0.083","0.026","0.04","0.064","0.08","0.099","0.139","1.001","2800"
"Plambda[2,4]","0.25","0.042","0.172","0.221","0.249","0.277","0.338","1.001","5800"
"Plambda[3,1]","0.424","0.03","0.367","0.404","0.424","0.444","0.482","1.001","6900"
"Plambda[3,2]","0.435","0.029","0.381","0.415","0.435","0.455","0.492","1.001","6900"
"Plambda[3,3]","0.028","0.009","0.013","0.022","0.027","0.034","0.049","1.001","6900"
"Plambda[3,4]","0.112","0.02","0.077","0.098","0.111","0.125","0.154","1.001","4400"
"Plambda[4,1]","0.326","0.033","0.262","0.304","0.326","0.348","0.392","1.001","6900"
"Plambda[4,2]","0.501","0.035","0.431","0.477","0.501","0.525","0.573","1.002","1700"
"Plambda[4,3]","0.021","0.011","0.005","0.013","0.019","0.027","0.047","1.001","3500"
"Plambda[4,4]","0.152","0.027","0.102","0.132","0.15","0.169","0.208","1.001","4300"
"Plambda[5,1]","0.352","0.042","0.271","0.323","0.351","0.38","0.437","1.001","6900"
"Plambda[5,2]","0.293","0.038","0.221","0.267","0.292","0.318","0.369","1.001","3700"
"Plambda[5,3]","0.088","0.026","0.045","0.07","0.086","0.104","0.144","1.001","6900"
"Plambda[5,4]","0.267","0.041","0.193","0.238","0.266","0.294","0.351","1.001","2600"
"Plambda[6,1]","0.42","0.035","0.354","0.397","0.42","0.444","0.49","1.001","6900"
"Plambda[6,2]","0.426","0.034","0.36","0.404","0.426","0.449","0.492","1.001","6900"
"Plambda[6,3]","0.039","0.013","0.017","0.03","0.037","0.046","0.067","1.001","6900"
"Plambda[6,4]","0.115","0.023","0.074","0.099","0.113","0.129","0.164","1.001","6900"
"Plambda[7,1]","0.347","0.03","0.288","0.326","0.346","0.367","0.406","1.001","6900"
"Plambda[7,2]","0.459","0.031","0.397","0.438","0.458","0.48","0.521","1.002","1700"
"Plambda[7,3]","0.052","0.016","0.027","0.04","0.05","0.062","0.087","1.001","5600"
"Plambda[7,4]","0.143","0.026","0.097","0.125","0.141","0.159","0.197","1.001","2500"
"Plambda[8,1]","0.363","0.037","0.292","0.337","0.362","0.387","0.436","1.002","1300"
"Plambda[8,2]","0.387","0.035","0.32","0.363","0.387","0.41","0.458","1.003","850"
"Plambda[8,3]","0.042","0.014","0.019","0.032","0.04","0.05","0.074","1.001","6900"
"Plambda[8,4]","0.208","0.031","0.151","0.186","0.207","0.229","0.272","1.001","6900"
"Plambda[9,1]","0.383","0.032","0.321","0.361","0.382","0.405","0.448","1.001","6900"
"Plambda[9,2]","0.427","0.033","0.363","0.404","0.427","0.45","0.493","1.001","6900"
"Plambda[9,3]","0.026","0.011","0.009","0.018","0.024","0.032","0.052","1.001","6200"
"Plambda[9,4]","0.163","0.028","0.113","0.144","0.162","0.181","0.223","1.002","2100"
"Plambda[10,1]","0.383","0.023","0.338","0.367","0.382","0.398","0.429","1.001","6900"
"Plambda[10,2]","0.514","0.024","0.467","0.497","0.514","0.53","0.56","1.002","1400"
"Plambda[10,3]","0.011","0.005","0.003","0.007","0.01","0.013","0.022","1.001","2400"
"Plambda[10,4]","0.093","0.016","0.065","0.082","0.092","0.103","0.127","1.002","1600"
"Plambda[11,1]","0.384","0.027","0.331","0.366","0.384","0.402","0.439","1.001","6900"
"Plambda[11,2]","0.465","0.028","0.409","0.446","0.465","0.484","0.521","1.001","6900"
"Plambda[11,3]","0.029","0.009","0.013","0.022","0.028","0.034","0.049","1.001","6900"
"Plambda[11,4]","0.122","0.021","0.084","0.107","0.121","0.136","0.166","1.001","6900"
"Plambda[12,1]","0.366","0.032","0.303","0.344","0.365","0.388","0.43","1.001","6900"
"Plambda[12,2]","0.425","0.033","0.359","0.402","0.424","0.447","0.489","1.001","6900"
"Plambda[12,3]","0.028","0.011","0.011","0.02","0.027","0.035","0.053","1.001","3700"
