"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"Nesc[23]","2167.39885","108.12844471602","1969","2092","2162","2238","2394.02499491055","1.00096930788981","20000"
"Nesc[24]","3400.96965","173.445177766238","3088","3279","3392","3513","3763","1.0009512071917","20000"
"Nesc[25]","1424.84055","119.497818022435","1214","1341","1416","1500.24993752429","1681","1.00094852161076","20000"
"Nesc[26]","1808.12755","91.4811178371993","1639","1745","1803","1867","1996","1.00126417813467","4800"
"Nesc[27]","1364.75135","67.3548168785673","1246","1317","1360","1407","1512","1.00107466246948","12000"
"Nesc[28]","1303.88175","97.7835203282224","1130.97498921786","1235","1298","1367","1511","1.0009530990739","20000"
"Nesc[29]","1584.18105","111.642681691709","1386","1506","1576","1655","1823","1.00109685902805","10000"
"Nesc[30]","2315.222","119.086259462877","2099.97499419461","2233","2310","2392","2567","1.00149106740328","2800"
"Nesc[31]","2027.40405","254.580131482731","1595","1848","2007","2184","2594","1.00098486212892","20000"
"Nesc[32]","1661.28695","91.3499499198824","1496","1598","1657","1719","1856","1.00099792941469","20000"
"Nesc[33]","2261.6934","298.364389567334","1751","2055","2238","2440","2903","1.00275408410627","830"
"overdisp_MC[1]","0.841245265","0.203685343204983","0.50409249782324","0.695374998651742","0.8219","0.966124999029662","1.291","1.00096765619548","20000"
"overdisp_MC[2]","0.841245265","0.203685343204983","0.50409249782324","0.695374998651742","0.8219","0.966124999029662","1.291","1.00096765619548","20000"
"overdisp_MC[3]","2.523729655","0.611049011418723","1.51197499193597","2.086","2.466","2.89824996765661","3.87302499685375","1.0009676850225","20000"
"overdisp_MC[4]","3.36497305","0.81472655093064","2.01597499395264","2.78174996629415","3.287","3.865","5.165","1.00096766516941","20000"
"overdisp_MC[5]","1.682483395","0.407361405077225","1.008","1.391","1.644","1.932","2.58202499528102","1.00096781839454","20000"
"overdisp_MC[6]","1.682483395","0.407361405077225","1.008","1.391","1.644","1.932","2.58202499528102","1.00096781839454","20000"
"overdisp_MC[7]","1.682483395","0.407361405077225","1.008","1.391","1.644","1.932","2.58202499528102","1.00096781839454","20000"
"overdisp_MC[8]","0.841245265","0.203685343204983","0.50409249782324","0.695374998651742","0.8219","0.966124999029662","1.291","1.00096765619548","20000"
"overdisp_MC[9]","1.682483395","0.407361405077225","1.008","1.391","1.644","1.932","2.58202499528102","1.00096781839454","20000"
"overdisp_MC[10]","2.523729655","0.611049011418723","1.51197499193597","2.086","2.466","2.89824996765661","3.87302499685375","1.0009676850225","20000"
"overdisp_MC[11]","2.523729655","0.611049011418723","1.51197499193597","2.086","2.466","2.89824996765661","3.87302499685375","1.0009676850225","20000"
"overdisp_MC[12]","10.09494895","2.4442281544912","6.04892498186091","8.34474998876494","9.862","11.59","15.4902499213536","1.00096769932903","20000"
"overdisp_MC[13]","4.20621535","1.01841482359205","2.51997499516243","3.477","4.109","4.831","6.45602499811241","1.00096765957873","20000"
"overdisp_MC[14]","5.04745925","1.2220939122735","3.02397499596886","4.172","4.931","5.797","7.74702499842694","1.00096767233783","20000"
"overdisp_MC[15]","10.09494895","2.4442281544912","6.04892498186091","8.34474998876494","9.862","11.59","15.4902499213536","1.00096769932903","20000"
"overdisp_MC[16]","10.09494895","2.4442281544912","6.04892498186091","8.34474998876494","9.862","11.59","15.4902499213536","1.00096769932903","20000"
"overdisp_MC[17]","17.66612895","4.27734576861202","10.5897498848434","14.6","17.26","20.29","27.1102499550552","1.00096764998802","20000"
"overdisp_MC[18]","18.50733765","4.48102653092804","11.0897498900384","15.3","18.08","21.26","28.41","1.00096765624349","20000"
"overdisp_MC[19]","17.66612895","4.27734576861202","10.5897498848434","14.6","17.26","20.29","27.1102499550552","1.00096764998802","20000"
"overdisp_MC[20]","10.93615815","2.64788339068417","6.55292498325644","9.03974998962875","10.68","12.56","16.79","1.00096764224169","20000"
"overdisp_MC[21]","15.1423819","3.66625730497516","9.07289997850142","12.52","14.79","17.39","23.24","1.00096764034556","20000"
"overdisp_MC[22]","9.25366845","2.24049392310615","5.54492498021162","7.649","9.04049998617333","10.63","14.2","1.00096763399513","20000"
"overdisp_MC[23]","14.3011639","3.46261922671729","8.56889997723656","11.82","13.97","16.4224994292527","21.95","1.00096767358094","20000"
"overdisp_MC[24]","13.459912","3.25891833378674","8.06489997581355","11.13","13.15","15.46","20.66","1.00096752312916","20000"
"overdisp_MC[25]","5.8887027","1.4257776362414","3.52797499654485","4.86774998073927","5.753","6.763249986139","9.03802499865163","1.00096768457397","20000"
"overdisp_MC[26]","9.25366845","2.24049392310615","5.54492498021162","7.649","9.04049998617333","10.63","14.2","1.00096763399513","20000"
"overdisp_MC[27]","6.72994265","1.62946395412721","4.03294998790828","5.563","6.575","7.72924998787127","10.33","1.00096763266652","20000"
"overdisp_MC[28]","10.09494895","2.4442281544912","6.04892498186091","8.34474998876494","9.862","11.59","15.4902499213536","1.00096769932903","20000"
"overdisp_MC[29]","10.93615815","2.64788339068417","6.55292498325644","9.03974998962875","10.68","12.56","16.79","1.00096764224169","20000"
